setID,number,name,year,theme,subtheme,pieces,minifigs,availability,packagingType,imageURL,bricksetURL
51899,30731,Tom Nook and Flying Present,2026,Animal Crossing,Promotional,33,1,{Not specified},Paper bag,https://images.brickset.com/sets/images/30731-1.jpg,https://brickset.com/sets/30731-1
52612,77059,{?},2026,Animal Crossing,,,,{Not specified},{Not specified},,https://brickset.com/sets/77059-1
51647,21064,Paris - City of Love,2026,Architecture,,958,,Retail,Box,https://images.brickset.com/sets/images/21064-1.jpg,https://brickset.com/sets/21064-1
51648,21065,{?},2026,Architecture,Landmark Series,12060,,{Not specified},Box,,https://brickset.com/sets/21065-1
51649,21066,{?},2026,Architecture,,1465,,Retail,Box,,https://brickset.com/sets/21066-1
51650,21067,{?},2026,Architecture,,3745,,Retail,Box,,https://brickset.com/sets/21067-1
51651,31218,Japanese Cherry Blossom Landscape,2026,Art,Paintings,1892,,Retail,Box,https://images.brickset.com/sets/images/31218-1.jpg,https://brickset.com/sets/31218-1
51652,31220,Claude Monet - Bridge over a Pond of Water Lilies,2026,Art,Paintings,3179,,Retail,Box,https://images.brickset.com/sets/images/31220-1.jpg,https://brickset.com/sets/31220-1
51973,11216,{?},2026,Bluey,,,,{Not specified},{Not specified},,https://brickset.com/sets/11216-1
51974,11217,{?},2026,Bluey,,,,{Not specified},{Not specified},,https://brickset.com/sets/11217-1
51975,11221,{?},2026,Bluey,,,,{Not specified},{Not specified},,https://brickset.com/sets/11221-1
52613,30713,Fancy Restaurant with Bingo,2026,Bluey,,23,,Retail - limited,Paper bag,,https://brickset.com/sets/30713-1
52413,BLOCKS136,Blocks magazine issue 136,2026,Books,Magazines/Blocks,,,{Not specified},{Not specified},https://images.brickset.com/sets/images/BLOCKS136-1.jpg,https://brickset.com/sets/BLOCKS136-1
52486,BLOCKS137,Blocks magazine issue 137,2026,Books,Magazines/Blocks,,,{Not specified},{Not specified},https://images.brickset.com/sets/images/BLOCKS137-1.jpg,https://brickset.com/sets/BLOCKS137-1
52611,BLOCKS138,Blocks magazine issue 138,2026,Books,Magazines/Blocks,,,{Not specified},{Not specified},https://images.brickset.com/sets/images/BLOCKS138-1.jpg,https://brickset.com/sets/BLOCKS138-1
52707,BLOCKSSTARWARS,LEGO Star Wars Special,2026,Books,Magazines/Blocks,,,{Not specified},{Not specified},https://images.brickset.com/sets/images/BLOCKSSTARWARS-1.jpg,https://brickset.com/sets/BLOCKSSTARWARS-1
52267,ISBN9780241788059,LEGO Marvel: Secrets of the Avengers,2026,Books,Dorling Kindersley,4,,Retail,{Not specified},https://images.brickset.com/sets/images/ISBN9780241788059-1.jpg,https://brickset.com/sets/ISBN9780241788059-1
52268,ISBN9780241789926,LEGO Disney: Character Guide,2026,Books,Dorling Kindersley,4,,Retail,{Not specified},https://images.brickset.com/sets/images/ISBN9780241789926-1.jpg,https://brickset.com/sets/ISBN9780241789926-1
52368,ISBN9780241789940,"LEGO NINJAGO: Visual Dictionary, Updated Edition",2026,Books,Dorling Kindersley,,,Retail,{Not specified},https://images.brickset.com/sets/images/ISBN9780241789940-1.jpg,https://brickset.com/sets/ISBN9780241789940-1
52610,ISBN9780241816516,LEGO Star Wars: Luke Skywalker's Galactic Adventures,2026,Books,Dorling Kindersley,4,,Retail - limited,{Not specified},https://images.brickset.com/sets/images/ISBN9780241816516-1.jpg,https://brickset.com/sets/ISBN9780241816516-1
52591,ISBN9781837251957,Tiny Pets: Corgi,2026,Books,Buster Books,,,{Not specified},{Not specified},https://images.brickset.com/sets/images/ISBN9781837251957-1.jpg,https://brickset.com/sets/ISBN9781837251957-1
52592,ISBN9781837251964,Tiny Pets: Pig,2026,Books,Buster Books,,,{Not specified},{Not specified},https://images.brickset.com/sets/images/ISBN9781837251964-1.jpg,https://brickset.com/sets/ISBN9781837251964-1
52590,ISBN9781837252121,Tiny Pets: Koala,2026,Books,Buster Books,,,{Not specified},{Not specified},https://images.brickset.com/sets/images/ISBN9781837252121-1.jpg,https://brickset.com/sets/ISBN9781837252121-1
52593,ISBN9781837252138,Tiny Pets: Panda,2026,Books,Buster Books,,,{Not specified},{Not specified},https://images.brickset.com/sets/images/ISBN9781837252138-1.jpg,https://brickset.com/sets/ISBN9781837252138-1
52450,ISBN9798217140022,LEGO Holiday Ideas,2026,Books,Dorling Kindersley,,,Retail,{Not specified},https://images.brickset.com/sets/images/ISBN9798217140022-1.jpg,https://brickset.com/sets/ISBN9798217140022-1
52395,WORLDBUILDER,LEGO City: World Builder,2026,Books,Dorling Kindersley,129,,Retail - limited,{Not specified},https://images.brickset.com/sets/images/WORLDBUILDER-1.jpg,https://brickset.com/sets/WORLDBUILDER-1
51653,11501,Tulip Bouquet,2026,Botanicals,Botanical Collection,576,,Retail,Box,https://images.brickset.com/sets/images/11501-1.jpg,https://brickset.com/sets/11501-1
51654,11502,Sunflower Bouquet,2026,Botanicals,Botanical Collection,686,,Retail,Box,https://images.brickset.com/sets/images/11502-1.jpg,https://brickset.com/sets/11502-1
52274,11503,Flower Wall,2026,Botanicals,Botanical Collection,879,,Retail,Box,https://images.brickset.com/sets/images/11503-1.jpg,https://brickset.com/sets/11503-1
51655,11504,Peace Lily,2026,Botanicals,Botanical Collection,474,,Retail,Box,https://images.brickset.com/sets/images/11504-1.jpg,https://brickset.com/sets/11504-1
